Algorithm,Mean AUC-ROC,Jaccard Similarity,Nogueira Index,Selected Features,Mean Runtime (s)
Classical Continuous PSO,0.9911 ± 0.0019,0.0241,0.0172,30.0 ± 0.0,15.05
Genetic Algorithm (GA),0.9916 ± 0.0019,0.0827,0.1237,30.0 ± 0.0,15.34
Binary PSO (BPSO),0.9926 ± 0.0006,0.0223,0.0137,30.0 ± 0.0,8.66
Binary Quantum PSO (BQPSO),0.9903 ± 0.0014,0.0243,0.0172,30.0 ± 0.0,13.56
