Experimental Configuration,AUC-ROC,Sensitivity,Specificity,Nogueira Stability Index,Pipeline Status
Full Pipeline (BQPSO + ComBat + RobustScaler + Youden),0.9989,0.9942,0.9865,0.8872,"Optimal Master Pipeline (AUC > 0.99, Specificity > 0.95)"
Ablation 1: No ComBat Batch Correction,0.724,0.991,0.1045,0.4215,Severe Specificity Crash to ~10% (Batch Disparity Bias)
Ablation 2: No RobustScaler Normalization,0.8238,0.881,0.812,0.785,Significant Performance Degradation (Outlier Distortion)
Ablation 3: No Youden Threshold Optimization,0.9989,0.924,0.911,0.8872,Suboptimal Decision Threshold (Default 0.0 Shift)
Baseline 1: Random Feature Subset (30 Genes),0.512,0.521,0.498,0.0102,Chance Level Classifier
Baseline 2: LASSO Feature Selection (L1),0.941,0.925,0.894,0.741,Linear Penalty Baseline
Baseline 3: Random Forest Feature Importance,0.932,0.914,0.881,0.692,Tree Gini Importance Baseline
Baseline 4: XGBoost Feature Importance,0.948,0.931,0.902,0.715,Gradient Boosted Feature Screen
