particles,epochs,fitness_auc,n_genes_selected,runtime_seconds
30,50,0.997,30,24.8
30,100,0.997,30,48.9
50,50,0.989125,30,42.5
50,100,0.991375,30,83.6
100,50,0.995875,30,82.1
100,100,0.997,30,172.3
